Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
05/10/2012,24,,Allen Park,26-163-0001,AQS
05/11/2012,44,,Allen Park,26-163-0001,AQS
05/12/2012,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/13/2012,38,,Allen Park,26-163-0001,AQS
05/14/2012,44,,Allen Park,26-163-0001,AQS
05/15/2012,75,,Southwestern H.S.,26-163-0015,AQS
05/16/2012,33,,FIA/Lafayette,26-163-0039,AQS
05/17/2012,28,,Allen Park,26-163-0001,AQS
05/18/2012,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/19/2012,67,,Allen Park,26-163-0001,AQS
05/20/2012,79,,Allen Park,26-163-0001,AQS
05/21/2012,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/22/2012,25,,Allen Park,26-163-0001,AQS
05/23/2012,56,,Allen Park,26-163-0001,AQS
05/24/2012,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/25/2012,54,,Allen Park,26-163-0001,AQS
05/26/2012,38,,Allen Park,26-163-0001,AQS
05/27/2012,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/28/2012,66,,Allen Park,26-163-0001,AQS
05/29/2012,52,,Allen Park,26-163-0001,AQS
05/30/2012,25,,Allen Park,26-163-0001,AQS
05/31/2012,22,,Allen Park,26-163-0001,AQS
06/01/2012,27,,Allen Park,26-163-0001,AQS
06/02/2012,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/03/2012,31,,Allen Park,26-163-0001,AQS
06/04/2012,28,,Allen Park,26-163-0001,AQS
06/05/2012,27,,Allen Park,26-163-0001,AQS
06/06/2012,35,,Allen Park,26-163-0001,AQS
06/07/2012,37,,Allen Park,26-163-0001,AQS
06/08/2012,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/09/2012,56,,Allen Park,26-163-0001,AQS
06/10/2012,60,,FIA/Lafayette,26-163-0039,AQS
06/11/2012,63,,Port Huron,26-147-0005,AQS
06/12/2012,30,,Newberry School,26-163-0038,AQS
06/13/2012,18,,Allen Park,26-163-0001,AQS
06/14/2012,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/15/2012,52,,Allen Park,26-163-0001,AQS
06/16/2012,55,,Allen Park,26-163-0001,AQS
06/17/2012,57,,Southwestern H.S.,26-163-0015,AQS
06/18/2012,40,,Allen Park,26-163-0001,AQS
06/19/2012,50,,FIA/Lafayette,26-163-0039,AQS
06/20/2012,81,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/21/2012,56,,Allen Park,26-163-0001,AQS
06/22/2012,32,,Allen Park,26-163-0001,AQS
06/23/2012,44,,Allen Park,26-163-0001,AQS
06/24/2012,35,,Allen Park,26-163-0001,AQS
06/25/2012,22,,Allen Park,26-163-0001,AQS
06/26/2012,68,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/27/2012,38,,Allen Park,26-163-0001,AQS
06/28/2012,68,,Allen Park,26-163-0001,AQS
06/29/2012,58,,Allen Park,26-163-0001,AQS
06/30/2012,44,,FIA/Lafayette,26-163-0039,AQS
07/01/2012,55,,Allen Park,26-163-0001,AQS
07/02/2012,89,,Southwestern H.S.,26-163-0015,AQS
07/03/2012,60,,Allen Park,26-163-0001,AQS
07/04/2012,77,,FIA/Lafayette,26-163-0039,AQS
07/05/2012,121,,East 7 Mile,26-163-0019,AQS
07/06/2012,71,,FIA/Lafayette,26-163-0039,AQS
07/07/2012,55,,Allen Park,26-163-0001,AQS
07/08/2012,30,,Southwestern H.S.,26-163-0015,AQS
07/09/2012,38,,Allen Park,26-163-0001,AQS
07/10/2012,35,,Allen Park,26-163-0001,AQS
07/11/2012,39,,Allen Park,26-163-0001,AQS
07/12/2012,55,,Allen Park,26-163-0001,AQS
07/13/2012,56,,FIA/Lafayette,26-163-0039,AQS
07/14/2012,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/15/2012,52,,Allen Park,26-163-0001,AQS
