Date,PMAQI Value,Main Pollutant,Site Name,Site ID,Source
8/17/13,69,,Allen Park,26-163-0001,AQS
8/18/13,67,,Allen Park,26-163-0001,AQS
8/19/13,76,,FIA/Lafayette,26-163-0039,AQS
8/20/13,78,,FIA/Lafayette,26-163-0039,AQS
8/21/13,83,,FIA/Lafayette,26-163-0039,AQS
8/22/13,54,,Allen Park,26-163-0001,AQS
8/23/13,41,,Allen Park,26-163-0001,AQS
8/24/13,37,,Allen Park,26-163-0001,AQS
8/25/13,54,,Allen Park,26-163-0001,AQS
8/26/13,67,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/27/13,60,,FIA/Lafayette,26-163-0039,AQS
8/28/13,51,,Allen Park,26-163-0001,AQS
8/29/13,59,,Allen Park,26-163-0001,AQS
8/30/13,63,,FIA/Lafayette,26-163-0039,AQS
8/31/13,43,,Allen Park,26-163-0001,AQS
9/1/13,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/2/13,35,,FIA/Lafayette,26-163-0039,AQS
9/3/13,23,,Allen Park,26-163-0001,AQS
9/4/13,33,,Allen Park,26-163-0001,AQS
9/5/13,24,,Allen Park,26-163-0001,AQS
9/6/13,44,,Allen Park,26-163-0001,AQS
9/7/13,146,,Port Huron,26-147-0005,AQS
9/8/13,44,,Allen Park,26-163-0001,AQS
9/9/13,53,,Allen Park,26-163-0001,AQS
9/10/13,76,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/11/13,64,,FIA/Lafayette,26-163-0039,AQS
9/12/13,25,,FIA/Lafayette,26-163-0039,AQS
9/13/13,34,,Allen Park,26-163-0001,AQS
9/14/13,41,,Allen Park,26-163-0001,AQS
9/15/13,49,,FIA/Lafayette,26-163-0039,AQS
9/16/13,25,,FIA/Lafayette,26-163-0039,AQS
9/17/13,24,,Allen Park,26-163-0001,AQS
9/18/13,54,,Allen Park,26-163-0001,AQS
9/19/13,87,,Port Huron,26-147-0005,AQS
9/20/13,58,,FIA/Lafayette,26-163-0039,AQS
