Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
11/28/20,52,,Military Park (GHIB),26-163-0100,AQS
11/29/20,56,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/30/20,35,,Military Park (GHIB),26-163-0100,AQS
12/1/20,20,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
12/2/20,23,,ELIZA-NR,26-163-0093,AQS
12/3/20,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/4/20,62,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
12/5/20,42,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/6/20,27,,ELIZA-NR,26-163-0093,AQS
12/7/20,43,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/8/20,72,,Military Park (GHIB),26-163-0100,AQS
12/9/20,93,,Military Park (GHIB),26-163-0100,AQS
12/10/20,125,,Military Park (GHIB),26-163-0100,AQS
12/11/20,109,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
12/12/20,71,,Military Park (GHIB),26-163-0100,AQS
12/13/20,29,,Military Park (GHIB),26-163-0100,AQS
12/14/20,54,,Military Park (GHIB),26-163-0100,AQS
12/15/20,33,,ELIZA-NR,26-163-0093,AQS
12/16/20,41,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
12/17/20,77,,Military Park (GHIB),26-163-0100,AQS
12/18/20,73,,Military Park (GHIB),26-163-0100,AQS
12/19/20,68,,Military Park (GHIB),26-163-0100,AQS
12/20/20,78,,Military Park (GHIB),26-163-0100,AQS
12/21/20,84,,Military Park (GHIB),26-163-0100,AQS
12/22/20,56,,Military Park (GHIB),26-163-0100,AQS
12/23/20,38,,Military Park (GHIB),26-163-0100,AQS
12/24/20,33,,Military Park (GHIB),26-163-0100,AQS
12/25/20,25,,Military Park (GHIB),26-163-0100,AQS
12/26/20,43,,Military Park (GHIB),26-163-0100,AQS
12/27/20,63,,Military Park (GHIB),26-163-0100,AQS
12/28/20,39,,Military Park (GHIB),26-163-0100,AQS
12/29/20,49,,ELIZA-NR,26-163-0093,AQS
12/30/20,46,,Military Park (GHIB),26-163-0100,AQS
12/31/20,68,,Military Park (GHIB),26-163-0100,AQS
1/1/21,69,,ELIZA-NR,26-163-0093,AQS
1/2/21,39,,Military Park (GHIB),26-163-0100,AQS
1/3/21,44,,Military Park (GHIB),26-163-0100,AQS
1/4/21,64,,Oak Park,26-125-0001,AQS
1/5/21,70,,Military Park (GHIB),26-163-0100,AQS
1/6/21,64,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/7/21,45,,Oak Park,26-125-0001,AQS
1/8/21,29,,ELIZA-NR,26-163-0093,AQS
1/9/21,48,,Military Park (GHIB),26-163-0100,AQS
1/10/21,89,,Military Park (GHIB),26-163-0100,AQS
1/11/21,77,,Port Huron,26-147-0005,AQS
1/12/21,79,,Military Park (GHIB),26-163-0100,AQS
1/13/21,84,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/14/21,79,,Military Park (GHIB),26-163-0100,AQS
1/15/21,63,,ELIZA-NR,26-163-0093,AQS
1/16/21,66,,Military Park (GHIB),26-163-0100,AQS
1/17/21,52,,ELIZA-NR,26-163-0093,AQS
1/18/21,67,,ELIZA-NR,26-163-0093,AQS
1/19/21,62,,Military Park (GHIB),26-163-0100,AQS
1/20/21,55,,ELIZA-NR,26-163-0093,AQS
1/21/21,41,,ELIZA-NR,26-163-0093,AQS
1/22/21,45,,Oak Park,26-125-0001,AQS
1/23/21,32,,ELIZA-NR,26-163-0093,AQS
1/24/21,62,,ELIZA-NR,26-163-0093,AQS
1/25/21,72,,Military Park (GHIB),26-163-0100,AQS
1/26/21,56,,Military Park (GHIB),26-163-0100,AQS
1/27/21,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/28/21,33,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/29/21,64,,Southwestern H.S.,26-163-0015,AQS
1/30/21,73,,Port Huron,26-147-0005,AQS
1/31/21,46,,ELIZA-NR,26-163-0093,AQS
2/1/21,44,,ELIZA-NR,26-163-0093,AQS
2/2/21,29,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/3/21,51,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/4/21,92,,Port Huron,26-147-0005,AQS
2/5/21,55,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/6/21,62,,ELIZA-NR,26-163-0093,AQS
2/7/21,51,,ELIZA-NR,26-163-0093,AQS
2/8/21,69,,ELIZA-NR,26-163-0093,AQS
2/9/21,68,,ELIZA-NR,26-163-0093,AQS
2/10/21,63,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/11/21,50,,ELIZA-NR,26-163-0093,AQS
2/12/21,56,,ELIZA-NR,26-163-0093,AQS
2/13/21,62,,ELIZA-NR,26-163-0093,AQS
2/14/21,59,,ELIZA-NR,26-163-0093,AQS
2/15/21,30,,ELIZA-NR,26-163-0093,AQS
2/16/21,32,,ELIZA-NR,26-163-0093,AQS
2/17/21,75,,ELIZA-NR,26-163-0093,AQS
2/18/21,64,,Allen Park,26-163-0001,AQS
2/19/21,71,,Allen Park,26-163-0001,AQS
2/20/21,95,,Allen Park,26-163-0001,AQS
2/21/21,119,,Port Huron,26-147-0005,AQS
2/22/21,66,,ELIZA-NR,26-163-0093,AQS
2/23/21,53,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
2/24/21,54,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/25/21,47,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/26/21,85,,ELIZA-NR,26-163-0093,AQS
2/27/21,65,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/28/21,65,,ELIZA-NR,26-163-0093,AQS
3/1/21,38,,Military Park (GHIB),26-163-0100,AQS
3/2/21,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/3/21,61,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/4/21,44,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/5/21,33,,Military Park (GHIB),26-163-0100,AQS
3/6/21,27,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
3/7/21,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/8/21,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/9/21,77,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
