Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
12/1/00,13,,,26-163-0016,AQS
12/2/00,33,,Port Huron,26-147-0005,AQS
12/3/00,59,,,26-163-0016,AQS
12/4/00,76,,,26-163-0016,AQS
12/5/00,50,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/6/00,47,,,26-163-0016,AQS
12/7/00,69,,,26-163-0016,AQS
12/8/00,74,,Southwestern H.S.,26-163-0015,AQS
12/9/00,67,,,26-163-0016,AQS
12/10/00,111,,,26-163-0016,AQS
12/11/00,72,,Allen Park,26-163-0001,AQS
12/12/00,35,,,26-163-0016,AQS
12/13/00,95,,Allen Park,26-163-0001,AQS
12/14/00,85,,92 FEET FROM WHE STREET,26-163-0036,AQS
12/15/00,102,,,26-163-0016,AQS
12/16/00,69,,Allen Park,26-163-0001,AQS
12/17/00,90,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
12/18/00,69,,,26-163-0016,AQS
12/19/00,86,,,26-163-0016,AQS
12/20/00,144,,Allen Park,26-163-0001,AQS
12/21/00,63,,Allen Park,26-163-0001,AQS
12/22/00,58,,Allen Park,26-163-0001,AQS
12/23/00,93,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
12/24/00,53,,Allen Park,26-163-0001,AQS
12/25/00,53,,Allen Park,26-163-0001,AQS
12/26/00,90,,92 FEET FROM WHE STREET,26-163-0036,AQS
12/27/00,69,,Allen Park,26-163-0001,AQS
12/28/00,45,,Allen Park,26-163-0001,AQS
12/29/00,70,,Southwestern H.S.,26-163-0015,AQS
12/30/00,49,,Allen Park,26-163-0001,AQS
12/31/00,20,,Allen Park,26-163-0001,AQS
1/1/01,52,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
1/2/01,64,,Allen Park,26-163-0001,AQS
1/3/01,80,,,26-163-0016,AQS
1/4/01,67,,Allen Park,26-163-0001,AQS
1/5/01,66,,,26-163-0016,AQS
1/6/01,56,,Allen Park,26-163-0001,AQS
