Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
02/09/2000,136,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/10/2000,116,,Allen Park,26-163-0001,AQS
02/11/2000,50,,Allen Park,26-163-0001,AQS
02/12/2000,62,,Port Huron,26-147-0005,AQS
02/13/2000,74,,,26-163-0016,AQS
02/14/2000,62,,Allen Park,26-163-0001,AQS
02/15/2000,88,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/16/2000,57,,,26-163-0016,AQS
02/17/2000,33,,,26-163-0016,AQS
02/18/2000,67,,Southwestern H.S.,26-163-0015,AQS
02/19/2000,49,,Allen Park,26-163-0001,AQS
02/20/2000,72,,,26-163-0016,AQS
02/21/2000,111,,Southwestern H.S.,26-163-0015,AQS
02/22/2000,80,,,26-163-0016,AQS
02/23/2000,87,,,26-163-0016,AQS
02/24/2000,97,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/25/2000,77,,Allen Park,26-163-0001,AQS
02/26/2000,64,,Allen Park,26-163-0001,AQS
02/27/2000,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/28/2000,64,,Allen Park,26-163-0001,AQS
02/29/2000,49,,,26-163-0016,AQS
03/01/2000,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/03/2000,60,,Allen Park,26-163-0001,AQS
03/04/2000,69,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/05/2000,62,,Allen Park,26-163-0001,AQS
03/06/2000,42,,,26-163-0016,AQS
03/07/2000,93,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
