Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
05/12/2021,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/13/2021,59,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/14/2021,54,,Southwestern H.S.,26-163-0015,AQS
05/15/2021,62,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/16/2021,51,,ELIZA-NR,26-163-0093,AQS
05/17/2021,94,,Military Park (GHIB),26-163-0100,AQS
05/18/2021,71,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/19/2021,58,,ELIZA-NR,26-163-0093,AQS
05/20/2021,62,,Southwestern H.S.,26-163-0015,AQS
05/21/2021,62,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/22/2021,58,,New Haven,26-099-0009,AQS
05/23/2021,45,,Allen Park,26-163-0001,AQS
05/24/2021,47,,ELIZA-NR,26-163-0093,AQS
05/25/2021,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/26/2021,48,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
05/27/2021,25,,ELIZA-NR,26-163-0093,AQS
05/28/2021,25,,Allen Park,26-163-0001,AQS
05/29/2021,25,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/30/2021,64,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
05/31/2021,58,,ELIZA-NR,26-163-0093,AQS
06/01/2021,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/02/2021,52,,Port Huron,26-147-0005,AQS
06/03/2021,49,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/04/2021,55,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/05/2021,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/06/2021,56,,New Haven,26-099-0009,AQS
06/07/2021,43,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/08/2021,42,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/09/2021,51,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/10/2021,56,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
06/11/2021,52,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/12/2021,68,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/13/2021,52,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/14/2021,42,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/15/2021,29,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/16/2021,39,,Military Park (GHIB),26-163-0100,AQS
06/17/2021,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/18/2021,59,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/19/2021,48,,Allen Park,26-163-0001,AQS
06/20/2021,64,,ELIZA-NR,26-163-0093,AQS
06/21/2021,27,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
06/22/2021,20,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/23/2021,46,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
06/24/2021,49,,Southwestern H.S.,26-163-0015,AQS
06/25/2021,55,,New Haven,26-099-0009,AQS
06/26/2021,54,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/27/2021,61,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/28/2021,43,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
06/29/2021,37,,ELIZA-NR,26-163-0093,AQS
06/30/2021,35,,Southwestern H.S.,26-163-0015,AQS
07/01/2021,38,,Allen Park,26-163-0001,AQS
07/02/2021,29,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/03/2021,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/04/2021,118,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/05/2021,73,,Allen Park,26-163-0001,AQS
07/06/2021,72,,Allen Park,26-163-0001,AQS
07/07/2021,73,,Allen Park,26-163-0001,AQS
07/08/2021,52,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
07/09/2021,26,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
07/10/2021,38,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
07/11/2021,39,,NMH48217 NEW MT HERMAN CHURCH,26-163-0097,AQS
07/12/2021,38,,Port Huron,26-147-0005,AQS
07/13/2021,41,,ELIZA-NR,26-163-0093,AQS
07/14/2021,46,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/15/2021,55,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/16/2021,33,,New Haven,26-099-0009,AQS
07/17/2021,53,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/18/2021,67,,Allen Park,26-163-0001,AQS
07/19/2021,95,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/20/2021,85,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
07/21/2021,36,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/22/2021,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/23/2021,52,,ELIZA-NR,26-163-0093,AQS
07/24/2021,72,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/25/2021,64,,Allen Park,26-163-0001,AQS
07/26/2021,70,,Military Park (GHIB),26-163-0100,AQS
07/27/2021,62,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
07/28/2021,64,,Port Huron,26-147-0005,AQS
07/29/2021,64,,Port Huron,26-147-0005,AQS
07/30/2021,48,,Allen Park,26-163-0001,AQS
07/31/2021,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/01/2021,71,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/02/2021,41,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/03/2021,54,,Southwestern H.S.,26-163-0015,AQS
08/04/2021,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/05/2021,65,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/06/2021,73,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/07/2021,58,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/08/2021,69,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/09/2021,59,,ELIZA-NR,26-163-0093,AQS
08/10/2021,56,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/11/2021,59,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/12/2021,44,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/13/2021,50,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
