Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
10/15/19,23,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/16/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/17/19,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/18/19,9,,ELIZA-NR,26-163-0093,AQS
10/19/19,13,,ELIZA-NR,26-163-0093,AQS
10/20/19,18,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/21/19,20,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/22/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/23/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/24/19,6,,ELIZA-NR,26-163-0093,AQS
10/25/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/26/19,19,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
10/27/19,9,,ELIZA-NR,26-163-0093,AQS
10/28/19,14,,ELIZA-NR,26-163-0093,AQS
10/29/19,11,,ELIZA-NR,26-163-0093,AQS
10/30/19,6,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
10/31/19,6,,ELIZA-NR,26-163-0093,AQS
11/1/19,8,,ELIZA-NR,26-163-0093,AQS
11/2/19,8,,ELIZA-NR,26-163-0093,AQS
11/3/19,8,,ELIZA-NR,26-163-0093,AQS
11/4/19,8,,ELIZA-NR,26-163-0093,AQS
11/5/19,7,,ELIZA-NR,26-163-0093,AQS
11/6/19,11,,ELIZA-NR,26-163-0093,AQS
11/7/19,10,,ELIZA-NR,26-163-0093,AQS
11/8/19,10,,ELIZA-NR,26-163-0093,AQS
11/9/19,10,,ELIZA-NR,26-163-0093,AQS
11/10/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/11/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/12/19,9,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/13/19,10,,ELIZA-NR,26-163-0093,AQS
11/14/19,7,,ELIZA-NR,26-163-0093,AQS
11/15/19,11,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/16/19,13,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/17/19,9,,Allen Park,26-163-0001,AQS
11/18/19,14,,Allen Park,26-163-0001,AQS
11/19/19,16,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
11/20/19,9,,Allen Park,26-163-0001,AQS
11/21/19,7,,Allen Park,26-163-0001,AQS
11/22/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/23/19,10,,ELIZA-NR,26-163-0093,AQS
11/24/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/25/19,7,,ELIZA-NR,26-163-0093,AQS
11/26/19,8,,ELIZA-NR,26-163-0093,AQS
11/27/19,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/28/19,5,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
11/29/19,5,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
11/30/19,6,,(Northeast corner),26-163-1008,AQS
12/1/19,7,,(Northeast corner),26-163-1008,AQS
12/2/19,6,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
12/3/19,6,,ELIZA-NR,26-163-0093,AQS
12/4/19,6,,ELIZA-NR,26-163-0093,AQS
12/5/19,7,,ELIZA-NR,26-163-0093,AQS
12/6/19,7,,ELIZA-NR,26-163-0093,AQS
12/7/19,8,,ELIZA-NR,26-163-0093,AQS
12/8/19,7,,ELIZA-NR,26-163-0093,AQS
12/9/19,6,,ELIZA-NR,26-163-0093,AQS
12/10/19,6,,(Northeast corner),26-163-1008,AQS
12/11/19,5,,Allen Park,26-163-0001,AQS
12/12/19,11,,ELIZA-NR,26-163-0093,AQS
12/13/19,13,,ELIZA-NR,26-163-0093,AQS
12/14/19,19,,ELIZA-NR,26-163-0093,AQS
12/15/19,7,,ELIZA-NR,26-163-0093,AQS
12/16/19,7,,Allen Park,26-163-0001,AQS
12/17/19,7,,Allen Park,26-163-0001,AQS
12/18/19,6,,Allen Park,26-163-0001,AQS
12/19/19,9,,ELIZA-NR,26-163-0093,AQS
12/20/19,16,,ELIZA-NR,26-163-0093,AQS
12/21/19,9,,ELIZA-NR,26-163-0093,AQS
12/22/19,8,,Allen Park,26-163-0001,AQS
12/23/19,10,,ELIZA-NR,26-163-0093,AQS
12/24/19,9,,Allen Park,26-163-0001,AQS
12/25/19,13,,ELIZA-NR,26-163-0093,AQS
12/26/19,19,,ELIZA-NR,26-163-0093,AQS
12/27/19,8,,ELIZA-NR,26-163-0093,AQS
12/28/19,8,,ELIZA-NR,26-163-0093,AQS
12/29/19,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
12/30/19,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
12/31/19,6,,Allen Park,26-163-0001,AQS
1/1/20,7,,Allen Park,26-163-0001,AQS
1/2/20,8,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
1/3/20,8,,Allen Park,26-163-0001,AQS
