Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
3/16/81,50.0,NO2,Oak Park,26-125-0001,AQS
3/17/81,41.0,Ozone,Port Huron,26-147-0005,AQS
3/18/81,49.0,NO2,Oak Park,26-125-0001,AQS
3/19/81,41.0,NO2,,26-163-0016,AQS
3/20/81,41.0,NO2,,26-163-0020,AQS
3/21/81,98.0,NO2,Oak Park,26-125-0001,AQS
3/22/81,106.0,NO2,Oak Park,26-125-0001,AQS
3/23/81,89.0,NO2,Oak Park,26-125-0001,AQS
3/24/81,105.0,NO2,Oak Park,26-125-0001,AQS
3/25/81,99.0,NO2,Oak Park,26-125-0001,AQS
3/26/81,101.0,NO2,Oak Park,26-125-0001,AQS
3/27/81,95.0,NO2,Oak Park,26-125-0001,AQS
3/28/81,102.0,NO2,Oak Park,26-125-0001,AQS
3/29/81,85.0,NO2,Oak Park,26-125-0001,AQS
3/30/81,52.0,NO2,Oak Park,26-125-0001,AQS
3/31/81,89.0,NO2,Oak Park,26-125-0001,AQS
4/1/81,79.0,NO2,Oak Park,26-125-0001,AQS
4/2/81,103.0,NO2,Oak Park,26-125-0001,AQS
4/3/81,69.0,NO2,,26-163-0016,AQS
4/4/81,45.0,NO2,,26-163-0016,AQS
4/5/81,42.0,Ozone,Port Huron,26-147-0005,AQS
